Model : PFM 001,360gsm + Matte / Gloss Lamination,Model : PFL 001,360gsm + Matte / Gloss Lamination,,,,,
Qty,SGD,Qty,SGD,,,|:$,,
50,98,50,102,,,,50|:$98,50|:$102
100,122,100,130,,,,100|:$122,100|:$130
150,146,150,162,,,,150|:$146,150|:$162
200,172,200,194,,,,200|:$172,200|:$194
250,198,250,224,,,,250|:$198,250|:$224
300,224,300,256,,,,300|:$224,300|:$256
350,250,350,288,,,,350|:$250,350|:$288
400,286,400,328,,,,400|:$286,400|:$328
450,312,450,360,,,,450|:$312,450|:$360
500,338,500,392,,,,500|:$338,500|:$392
600,390,600,454,,,,600|:$390,600|:$454
700,444,700,518,,,,700|:$444,700|:$518
800,514,800,600,,,,800|:$514,800|:$600
900,566,900,662,,,,900|:$566,900|:$662
1000,618,1000,724,,,,1000|:$618,1000|:$724
1500,898,1500,1058,,,,1500|:$898,1500|:$1058
2000,1034,2000,1264,,,,2000|:$1034,2000|:$1264
2500,1182,2500,1438,,,,2500|:$1182,2500|:$1438
3000,1362,3000,1652,,,,3000|:$1362,3000|:$1652
3500,1506,3500,1828,,,,3500|:$1506,3500|:$1828
4000,1666,4000,2024,,,,4000|:$1666,4000|:$2024
4500,1882,4500,2268,,,,4500|:$1882,4500|:$2268
5000,2024,5000,2444,,,,5000|:$2024,5000|:$2444
6000,2340,6000,2824,,,,6000|:$2340,6000|:$2824
7000,2676,7000,3224,,,,7000|:$2676,7000|:$3224
8000,2998,8000,3600,,,,8000|:$2998,8000|:$3600
9000,3302,9000,3954,,,,9000|:$3302,9000|:$3954
10000,3590,10000,4288,,,,10000|:$3590,10000|:$4288
