.,310gsm + Matte / Gloss Lamination,360gsm + Matte / Gloss Lamination,,,,,
Qty,SGD,SGD,,,|:$,,
50,92,96,,,,50|:$92,50|:$96
100,110,114,,,,100|:$110,100|:$114
150,130,136,,,,150|:$130,150|:$136
200,150,156,,,,200|:$150,200|:$156
250,170,176,,,,250|:$170,250|:$176
300,188,198,,,,300|:$188,300|:$198
350,210,220,,,,350|:$210,350|:$220
400,240,252,,,,400|:$240,400|:$252
450,260,272,,,,450|:$260,450|:$272
500,280,292,,,,500|:$280,500|:$292
600,320,334,,,,600|:$320,600|:$334
700,362,378,,,,700|:$362,700|:$378
800,422,440,,,,800|:$422,800|:$440
900,452,482,,,,900|:$452,900|:$482
1000,460,524,,,,1000|:$460,1000|:$524
1500,670,754,,,,1500|:$670,1500|:$754
2000,852,910,,,,2000|:$852,2000|:$910
2500,1014,1026,,,,2500|:$1014,2500|:$1026
3000,1112,1124,,,,3000|:$1112,3000|:$1124
3500,1228,1242,,,,3500|:$1228,3500|:$1242
4000,1328,1344,,,,4000|:$1328,4000|:$1344
4500,1506,1524,,,,4500|:$1506,4500|:$1524
5000,1618,1638,,,,5000|:$1618,5000|:$1638
6000,1786,1818,,,,6000|:$1786,6000|:$1818
7000,2038,2074,,,,7000|:$2038,7000|:$2074
8000,2284,2324,,,,8000|:$2284,8000|:$2324
9000,2542,2586,,,,9000|:$2542,9000|:$2586
10000,2796,2844,,,,10000|:$2796,10000|:$2844
